Optimization,weightsCalculation,ensembleAgrupation,number_of_sets,avg_std_total_testing,avg_std2_total_testing,MSE_total_testing,avg_std2_plus_MSE_total_testing,log_likelihood_total_testing,MSE_total_CV,MSE_total_training,MSE_Ts_training,MSE_Ts_CV,MSE_Ts_testing,MSE_Th_training,MSE_Th_CV,MSE_Th_testing
Expected_parameters_measured_environment,Set_0,NA,1,NA,NA,7.4951,NA,NA,NA,7.41083610545076,10.6866196886567,NA,10.3715937078147,4.13505252224477,NA,4.61870108648793
Expected_parameters_expected_environment,Set_1,NA,1,NA,NA,8.165,NA,NA,NA,7.5858,10.8322,NA,10.9986,4.3395,NA,5.3315
Best_parameters,Set_7651,NA,1,NA,NA,2.3707,NA,NA,NA,2.2018518084384,2.42130641034541,NA,2.03117802139207,1.98239720653139,NA,2.71019236539532
minMSE,bagging,naive,4,0.1956,0.0383,2.3518,2.3901,2662.1205,2.18099053033191,2.18099053033191,NA,NA,2.1042,NA,NA,2.5994
maxLL,bagging,naive,1000,0.3889,0.1512,2.6917,2.8429,611.2503,2.51281863866392,2.50725018171908,NA,NA,2.3917,NA,NA,2.9917
minAIC,bagging,naive,983,0.3866,0.1495,2.689,2.8385,619.9096,2.50972726087778,2.50492612583832,NA,NA,2.3883,NA,NA,2.9896
minBIC,bagging,naive,535,0.3235,0.1047,2.5984,2.7031,912.3351,2.44152164015808,2.43354388127704,NA,NA,2.2948,NA,NA,2.9019
minMSE,bagging,random,4,1.6882,2.85,5.4482,8.2982,53.7548,2.60155094088679,2.66917660498415,NA,NA,2.0164,NA,NA,8.88
maxLL,bagging,random,45,1.3873,1.9246,4.8162,6.7408,54.5141,3.44857550232628,3.30768825784349,NA,NA,2.1925,NA,NA,7.4399
minAIC,bagging,random,7,1.4097,1.9873,4.9327,6.92,55.6513,3.58784360255815,3.36015696579839,NA,NA,2.064,NA,NA,7.8015
minBIC,bagging,random,7,1.4097,1.9873,4.9327,6.92,55.6513,3.58784360255815,3.36015696579839,NA,NA,2.064,NA,NA,7.8015
minMSE,bagging,greedy,3,0.8625,0.7439,2.2294,2.9733,35.039,2.06677340620348,2.06553894057472,NA,NA,1.8752,NA,NA,2.5837
maxLL,bagging,greedy,5,1.3487,1.819,2.319,4.138,1.5171,2.10171963481017,2.13509741137482,NA,NA,2.2156,NA,NA,2.4224
minAIC,bagging,greedy,5,1.3487,1.819,2.319,4.138,1.5171,2.10171963481017,2.13509741137482,NA,NA,2.2156,NA,NA,2.4224
minBIC,bagging,greedy,4,1.4108,1.9904,2.3346,4.325,1.4182,2.15643819229386,2.16868401306525,NA,NA,2.2499,NA,NA,2.4193
minObj,bagging,greedy,12,1.463,2.1404,2.3716,4.512,4.7377,2.2297480396403,2.21110630502141,NA,NA,2.0769,NA,NA,2.6663
minMSE,optimumWeight,naive,3,0.7126,0.5078,2.2674,2.7752,118.9762,2.13451790774745,2.10373261505067,NA,NA,2.0846,NA,NA,2.4502
maxLL,optimumWeight,naive,5,0.8106,0.6571,2.3295,2.9866,69.4718,2.23520591603482,2.19153440905827,NA,NA,2.0643,NA,NA,2.5947
minAIC,optimumWeight,naive,6,0.812,0.6593,2.3261,2.9854,69.2425,2.23110995157136,2.18716444571969,NA,NA,2.063,NA,NA,2.5893
minBIC,optimumWeight,naive,6,0.812,0.6593,2.3261,2.9854,69.2425,2.23110995157136,2.18716444571969,NA,NA,2.063,NA,NA,2.5893
minObj,optimumWeight,naive,3,0.7777,0.6048,2.2586,2.8634,87.0666,2.13500691131367,2.10280730947241,NA,NA,2.0726,NA,NA,2.4447
minMSE,optimumWeight,random,2,0.6666,0.4444,2.3666,2.811,134.4342,2.19070599799473,2.19773070383614,NA,NA,2.1876,NA,NA,2.5456
maxLL,optimumWeight,random,2,1.526,2.3287,2.8334,5.1621,10.7172,2.43713937329524,2.6404461348944,NA,NA,2.2914,NA,NA,3.3754
minAIC,optimumWeight,random,2,1.526,2.3287,2.8334,5.1621,10.7172,2.43713937329524,2.6404461348944,NA,NA,2.2914,NA,NA,3.3754
minBIC,optimumWeight,random,2,1.5163,2.2992,2.8312,5.1304,10.7118,2.43169767219935,2.63689095640856,NA,NA,2.3262,NA,NA,3.3361
minObj,optimumWeight,random,2,0.6859,0.4705,2.3726,2.8431,148.0366,2.19620366177222,2.20342275919813,NA,NA,2.2047,NA,NA,2.5404
minMSE,optimumWeight,greedy,3,1.4314,2.0489,2.1419,4.1908,-3.3276,1.99008156660961,1.98387814905609,NA,NA,1.8632,NA,NA,2.4206
maxLL,optimumWeight,greedy,3,1.4438,2.0846,2.1717,4.2563,-1.5901,2.0102008998614,2.00409393741332,NA,NA,1.9002,NA,NA,2.4432
minAIC,optimumWeight,greedy,3,1.4438,2.0846,2.1717,4.2563,-1.5901,2.0102008998614,2.00409393741332,NA,NA,1.9002,NA,NA,2.4432
minBIC,optimumWeight,greedy,3,1.4438,2.0846,2.1717,4.2563,-1.5901,2.0102008998614,2.00409393741332,NA,NA,1.9002,NA,NA,2.4432
minObj,optimumWeight,greedy,3,1.4438,2.0846,2.1717,4.2563,-1.5901,2.0102008998614,2.00409393741332,NA,NA,1.9002,NA,NA,2.4432
