Animal,Sex,Date,Weight (kg),Length (cm),Perimeter neck (cm),Perimeter thorax (cm),Perimeter abdomen (cm),Average perimeter (cm),Height front legs (cm),Height back legs (cm)
1,F,8/8/2014,3.582,NA,NA,NA,NA,NA,NA,NA
2,F,8/8/2014,4.96,NA,NA,NA,NA,NA,NA,NA
3,M,8/8/2014,5.3,NA,NA,NA,NA,NA,NA,NA
4,M,8/8/2014,4.818,NA,NA,NA,NA,NA,NA,NA
5,M,8/8/2014,3.94,NA,NA,NA,NA,NA,NA,NA
6,M,8/8/2014,2.576,NA,NA,NA,NA,NA,NA,NA
7,F,8/8/2014,2.28,NA,NA,NA,NA,NA,NA,NA
8,M,8/8/2014,2.111,NA,NA,NA,NA,NA,NA,NA
9,F,8/8/2014,1.994,NA,NA,NA,NA,NA,NA,NA
10,M,8/8/2014,2.335,NA,NA,NA,NA,NA,NA,NA
1,F,8/9/2014,3.604,45,30,34,30,31.33,13,17
2,F,8/9/2014,5.013,52,30,39,35,34.67,17,18
3,M,8/9/2014,5.368,51,32,38,34,34.67,14,19
4,M,8/9/2014,4.87,52,31,37,32,33.33,14,20
5,M,8/9/2014,3.95,49,29,37,34,33.33,15,18
6,M,8/9/2014,2.712,40,26,32,30,29.33,13,16
7,F,8/9/2014,2.4,41,24,30,28,27.33,12,15
8,M,8/9/2014,2.2,40,22,28,23,24.33,10,13
9,F,8/9/2014,2.162,38,22,28,26,25.33,11,13
10,M,8/9/2014,2.45,39,23,27,25,25,12,14
1,F,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
2,F,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
3,M,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
4,M,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
5,M,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
6,M,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
7,F,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
8,M,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
9,F,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
10,M,8/10/2014,NA,NA,NA,NA,NA,NA,NA,NA
1,F,8/11/2014,4.05,49,28,36,34,32.67,14,19
2,F,8/11/2014,5.614,53,34,40,39,37.67,15,19
3,M,8/11/2014,5.75,57,35,41,40,38.67,18,21
4,M,8/11/2014,5.47,53,33,40,36,36.33,16,19
5,M,8/11/2014,4.482,50,30,37,35,34,13,17
6,M,8/11/2014,3.24,43,27,34,32,31,13,16
7,F,8/11/2014,2.912,43,27,33,30,30,14,16
8,M,8/11/2014,2.664,43,26,31,28,28.33,13,16
9,F,8/11/2014,2.5,43,26,31,28,28.33,14,17
10,M,8/11/2014,2.934,39,26,31,28,28.33,12,17
1,F,8/12/2014,4.294,51,31,35,31,32.33,16,17
2,F,8/12/2014,5.942,52,34,41,39,38,15,19
3,M,8/12/2014,6.1,55,35,40,39,38,16,21
4,M,8/12/2014,5.735,54,32,38,39,36.33,17,19
5,M,8/12/2014,4.748,54,32,37,38,35.67,16,17
6,M,8/12/2014,3.52,42,28,33,32,31,15,17
7,F,8/12/2014,3.2,44,27,33,31,30.33,15,16
8,M,8/12/2014,2.914,42,27,33,31,30.33,14,16
9,F,8/12/2014,2.73,42,27,30,29,28.67,14,14
10,M,8/12/2014,3.254,43,28,31,30,29.67,14,16
